Articles,Text,Category
11,henman to face saulnier test british number one tim henman will face france s cyril saulnier in the first round of next week s australian open.  greg rusedski  the british number two  is in the same quarter of the draw and could face andy roddick in the second round if he beats swede jonas bjorkman. local favourite lleyton hewitt will meet france s arnaud clement  while defending champion and world number one roger federer faces fabrice santoro. women s top seed lindsay davenport drew spanish veteran conchita martinez.  henman came from two sets down to defeat saulnier in the first round of the french open last year  so he knows he faces a tough test in melbourne. the seventh seed  who has never gone beyond the quarter-finals in the year s first major and is lined up to meet roddick in the last eight  is looking forward to the match.  he s tough player on any surface  he s got a lot of ability   he said.  we had a really tight one in paris that went my way so i m going to need to play well from the outset because he s a dangerous competitor.  switzerland s federer  seeded one  is the hot favourite having won three of the four grand slam titles in 2004. he has beaten santoro in five of their seven previous encounters  but is taking nothing for granted.  it s a tricky match   federer said.  i played him at the us open and won quite comfortably then. but you never know  if the rhythm is a bit off  he can keep you guessing and make it difficult.  the most important thing  though  is to get used to playing five-set matches and winning them.  the 23-year-old could meet four-time champion andre agassi in the quarter-finals before meeting russian marat safin  the player he beat in last year s final.  eighth-seeded american agassi is set to play a qualifier in round one if he can shake off a hip injury which ruled him out of the kooyong classic. second seed andy roddick will open his campaign against irakli labadze of georgia. the american could meet rusedski in the second round  seventh seed henman in the quarter-finals and hewitt in the last four. hewitt is hoping to become the first australian man to win the event since mark edmondson in 1976. the 23-year-old has never been beyond round four in eight attempts at melbourne park but has at least secured the opposite half of the draw to federer  who beat him in the australian open  wimbledon and us open last year. safin  seeded four  opens his campaign against a qualifier with 16th seed tommy haas  the player he beat in the semi-finals in 2002  a possible fourth-round opponent.  in the women s draw  davenport could encounter eighth-seeded venus williams in the quarter-finals and third-ranked anastasia myskina  the french open champion  in the semi-finals. bronchitis ruled davenport  the 2000 australian open champion  out of her sydney quarter-final on thursday. venus williams  who lost to younger sister serena in the melbourne final two years ago  opens against eleni daniilidou of greece. serena williams  who won her fourth consecutive grand slam at the 2003 australian open  was drawn in the bottom quarter with second seed amelie mauresmo  a runner-up in 1999. serena will open against another frenchwoman camille pin  while mauresmo plays australia s samantha stosur. wimbledon champion maria sharapova  seeded fourth  drew a qualifier in the first round but could meet fellow russian svetlana kuznetsova  the us open winner  in the last eight  1 roger federer (switzerland)  2 andy roddick (us)  3 lleyton hewitt (australia)  4 marat safin (russia)  5 carlos moya (spain)  6 guillermo coria (argentina)  7 tim henman (britain)  8 andre agassi (us)  9 david nalbandian (argentina)  10 gaston gaudio (argentina)  11 joachim johansson (sweden)  12 guillermo canas (argentina)  13 tommy robredo (spain)  14 sebastien grosjean (france)  15 mikhail youzhny (russia)  16 tommy haas (germany)  17 andrei pavel (romania)  18 nicolas massu (chile)  19 vincent spadea (us)  20 dominik hrbaty (slovakia)  21 nicolas kiefer (germany)  22 ivan ljubicic (croatia)  23 fernando gonzalez (chile)  24 feliciano lopez (spain)  25 juan ignacio chela (argentina)  26 nikolay davydenko (russia)  27 paradorn srichaphan (thailand)  28 mario ancic (croatia)  29 taylor dent (us)  30 thomas johansson (sweden)  31 juan carlos ferrero (spain)  32 jurgen melzer (austria)  1 lindsay davenport (us)  2 amelie mauresmo (france)  3 anastasia myskina (russia)  4 maria sharapova (russia)  5 svetlana kuznetsova (russia)  6 elena dementieva (russia)  7 serena williams (us)  8 venus williams (us)  9 vera zvonareva (russia)  10 alicia molik (australia)  11 nadia petrova (russia)  12 patty schnyder (switzerland)  13 karolina sprem (croatia)  14 francesca schiavone (italy)  15 silvia farina elia (italy)  16 ai sugiyama (japan)  17 fabiola zuluaga (colombia)  18 elena likhovtseva (russia)  19 nathalie dechy (france)  20 tatiana golovin (france)  21 amy frazier (us)  22 magdalena maleeva (bulgaria)  23 jelena jankovic (serbia and montenegro)  24 mary pierce (france)  25 lisa raymond (us)  26 daniela hantuchova (slovakia)  27 anna smashnova (israel)  28 shinobu asagoe (japan)  29 gisela dulko (argentina)  30 flavia pennetta (italy)  31 jelena kostanic (croatia)  32 iveta benesova (czech republic),sport
12,uk will stand firm on eu rebate  britain s £3bn eu rebate is not up for renegotiation at next week s european council summit  jack straw said.  the foreign secretary told mps the rebate  secured by margaret thatcher in 1984  was  entirely justified . new european commission president jose manuel barroso has suggested the cash could be shared out among net contributors to the eu budget. mr straw acknowledged some countries in the newly enlarged 25 nation eu still had to  see the light  on the rebate.  but the foreign secretary told the commons foreign affairs committee:  our position is very clear: it is entirely justified and it is not for negotiation.  he added that he did not think there would be a political price to pay for the uk s stance - britain contributed more and received less than other eu states. the two-day european council summit in brussels begins on 16 december and is widely expected to mark the beginning of a lengthy negotiating period over the eu s budget for 2007-13. the wrangling could stretch into 2005  even 2006.  the uk  france  germany  austria  the netherlands and sweden want the eu budget to be capped at 1% of member states  combined national incomes - the commission wants it to be 1.26%. mr straw said the eu commission s proposal would mean a 35% hike in the budget.  i don t know of any national government thinking of increasing its budget by that amount   he added. the foreign secretary said he hoped the talks next week could produce a date in 2005 for the beginning of negotiations with turkey about possible eu membership although that there would be no prospect of a date for joining for some time.,politics
13,security papers  found in street  an inquiry is under way after files containing security details about the pakistani president s visit to london were found by a member of the public.  the files are believed to contain detailed security arrangements for gen pervez musharraf s visit this week  including police codes. scotland yard said the policing operation had been reviewed. a spokesman said president musharraf s safety had not been compromised  as the papers had been handed in promptly.  we cannot discuss who was responsible for the documents  only that they contained the policing arrangements for the official visit   said the spokesman.  the papers are believed to have been found by a member of the public in a street in mayfair and given to the mirror newspaper. the police spokesman said the newspaper handed the report over on monday. the force s directorate of professional standards is investigating the circumstances surrounding the loss of the documents  he said. gen musharraf held talks with tony blair on monday. he arrived in britain on sunday night after flying from the united states  where he met president george w bush. he is due to visit the pakistani community in manchester on tuesday afternoon.,politics
14,philippoussis doubt over open bid mark philippoussis is almost certain to miss the australian open after suffering a groin injury during the hopman cup loss to the netherlands.  the 28-year-old suffered two tears to the adductor muscle and was unable to play in the deciding mixed doubles. he is now unlikely to be fit in time for the australian open which begins on 17 january in melbourne.  he has to strengthen it enough to cope with repetitive days of tennis   said hopman cup doctor hamish osborne.  it would be very unlikely in my opinion for him to do a five-setter once  let alone two days in a row  inside two weeks.   the injury is more common in australian rules football  and a fit footballer would normally take three to four weeks to recover fully although mark s injury is slightly different.  the australian has suffered a host of injury problems throughout his career but is still holding out slim hope that he can make the event.  it s something i ll have to go by feel. i ll start treatment as soon as possible and try to strengthen it without tearing it any more   he said.  what doesn t kill you makes you stronger. i know i can come back from this and that s all that matters.  - former world number two tommy haas is also a doubt for the australian open after picking up a thigh injury playing for germany in the hopman cup. the 26-year-old had treatment on his left thigh while leading argentine guillermo coria 7-5 2-2. he played one more game  but his movement was hampered and he quit.,sport
15,corry backs skipper robinson england forward martin corry says jason robinson is the right man to lead the national team back to winning ways.  after losses to wales and france  critics have started to wonder whether robinson can captain from full-back. but corry has backed robinson  who was given the role after the injury to fly-half jonny wilkinson  ahead of this weekend s trip to ireland.  jason is doing a tremendous job. every week my respect for him goes up   corry told bbc radio five live.  he is an inspirational captain. when he talks with the squad he talks with a lot of sense.  the players have a lot of respect for him. it s an honour to be in the england side and an honour to play under him.   england are under immense pressure following their poor start to the year and victory is vital if they are to rescue their six nations campaign. but corry insists england are in the right frame of mind for the contest.  there is apprehension going into every game   he added.  but you have to use that fear and put it into a positive mindset.  when the whistle goes on sunday  what has happened in the past does not count for anything.   we have not performed but if we put in a performance on sunday then we can start turning results around.  there are a lot of changes taking place with england and we are at the start of something. we have not got off to the greatest of starts but you need to experience the bad the before you can fully appreciate the good.   a trip to lansdowne road is daunting at any time  especially against an ireland side that are flying high after two impressive wins. they are the form team of the tournament and are tipped to claim their first grand slam since 1948. but corry is relishing the prospect of taking on the irish in their own backyard.  they are full of confidence and are playing a great team game   he said.  the forwards are creating a great platform and they have explosive runners out wide.  if you look at the team on paper  they have stars from one to 15. it s a huge task but it is a great opportunity for us.  lansdowne road is a tremendous venue to play in and we have to use it to our advantage.,sport
16,yachvili savours france comeback france scrum-half dimitri yachvili praised his team after they fought back to beat england 18-17 in the six nations clash at twickenham.  yachvili kicked all of france s points as they staged a second-half revival.  we didn t play last week against scotland and we didn t play in the first half against england   he said.  but we re very proud to beat england at twickenham. we were just defending in the first half and we said we had to put them under pressure. we did well.  yachvili admitted erratic kicking from england s charlie hodgson and olly barkley  who missed six penalties and a drop goal chance between them  had been decisive.  i know what it s like with kicking. when you miss some it s very hard mentally  but it went well for us   he said. france captain fabien pelous insisted his side never doubted they could secure their first win against england at twickenham since 1997. france were 17-6 down at half-time  but pelous said:  no-one was down at half-time  we were still confident.  we said we only had 11 points against us  which was not much.  the plan was to keep hold of possession and pressure england to losing their composure.  france coach bernard laporte accepted his side had not played well.  we know we have to play better to defend the title   he said.  i m not happy we didn t score a try but we re happy because we won.,sport
17,prop jones ready for hard graft adam jones says the wales forwards are determined to set the perfect attacking platform for the backs by dominating the powerful france pack in paris.  the prop said:  if we get stuffed in the front five our backs have had it.  the mentality of the french is  scrum  scrum  scrum . we will see how good france are and the scrum is the key.  i just hope [the backs] carry on where they left off against italy. it s just up to us in the forwards to win the ball and give them the opportunity.  wales have won two of their last three visits to stade de france  having secured back-to-back wins under graham henry in 1999 and 2001. and with the likes of shane williams and gavin henson finding top form at the right time  mike ruddock s team is now one of international rugby s most potent attacking threats.  gavin is ridiculously talented. he has been bouncing around the place this week  so he is up for it   warned jones.  france have been criticised for their uncharacteristic one-dimensional play in their victories over scotland and france. captain fabien pelous has acknowledged his side needs to show more attacking flair  but stressed the game with be won or lost up front. the lock believes the welsh forwards are not big enough to trouble his side in the scrum or line-out  but jones insisted his fellow front-row colleagues have nothing to fear.   gethin [jenkins] won t be intimidated tomorrow  none of us will   said jones  who will be facing france for the first time.  we will go out there and front up and hopefully get the ball out to the backs.  me and gethin are quite young so it is good to have someone of mefin s experience in there.  mefin is a good thinker who puts things across. but what is the saying  if you are good enough you are old enough and gethin certainly is.  he is a really good player and i imagine he will be on the lions tour [to new zealand this summer].,sport
18,mcleish ready for criticism rangers manager alex mcleish accepts he is going to be criticised after their disastrous uefa cup exit at the hands of auxerre at ibrox on wednesday.  mcleish told bbc radio five live:  we were in pole position to get through to the next stage but we blew it  we absolutely blew it.  there s no use burying your head in the sand  we know we are going to get a lot of criticism.  we have to take it as we have done in the past and we must now bounce back.  mcleish admitted his team s defending was amateurish after watching them lose 2-0 to guy roux s french side.   i m very disappointed because we didn t give ourselves a chance  losing the first goal from our own corner. it was amateur   he added.  the early goal in the second half gave us a mountain to climb and we never created the same kind of chances as we did in the first half.  it s difficult to take positives from the game. we ve let the fans down.,sport
19,premier league planning cole date the premier league is attempting to find a mutually convenient date to investigate allegations chelsea made an illegal approach for ashley cole.  both chelsea and arsenal will be asked to give evidence to a premier league commission  but no deadline has been put on when that meeting will convene.  it s hard to put a date on it   a premier league spokesman confirmed to bbc sport.  it s not a formal situation where they ve got so much time to respond.  arsenal and england defender cole reportedly met blues boss jose mourinho and chief executive peter kenyon in a london hotel 11 days ago. chelsea have yet to officially confirm or deny the meeting  which would be in breach of premier league rule k3.  now the gunners have asked for an inquiry to look into claims that their player has been  tapped up . both clubs have pledged to co-operate with the inquiry which will be conducted on a single day as opposed to being run as an ongoing evaluation. cole is in negotiations with the gunners over extending his current deal which ends in 2007. and his arsenal team-mate robert pires has urged the england left-back to stay at highbury. pires told the evening standard:  he has been at arsenal for ever. he is a very attacking left-back and i think he is enjoying his football because at arsenal he plays in an offensive team.  i am not sure he will get the same pleasure at chelsea  even though they are doing so well at the moment.  i have built a fantastic playing relationship with ashley.  we play together so well - we could do it with our eyes shut.  but you have to respect the decision of the player. everybody has that right.,sport
20,mourinho defiant on chelsea form chelsea boss jose mourinho has insisted that sir alex ferguson and arsene wenger would swap places with him.  mourinho s side were knocked out of the fa cup by newcastle last sunday before seeing barcelona secure a 2-1 champions league first-leg lead in the nou camp. but he denied his club was suffering a dip in form which league rivals arsenal and manchester united could exploit.  they cannot speak to us about blips because they re not in a better position than us   mourinho said.  do they want to change positions with us  we are top of the league by nine points and in the carling cup final.  the only thing they can say they are in a better position than us in is the fa cup.  in the champions league all three teams can either go through or go out but the one team that is in the best position is still chelsea.   mourinho said it was important to keep his team s results in perspective.  don t try to put pressure on me because i am never under pressure   he warned.  we have lost one important game this week - at newcastle - and we re out of the fa cup but i don t think a defeat in a first-leg tie is a real defeat. we are just 2-1 down at half-time.  asked if his chelsea honeymoon was now over  mourinho replied:  i have had 20 years of honeymoons with my wife.  the day that this club is not happy with me is the day that i go.,sport
21,mps quiz aides over royal income senior officials at the two bodies generating private income for the queen and prince of wales are to be questioned by mps.  aides from the duchy of lancaster and duchy of cornwall will appear before the commons public accounts committee. it has been reported they could be questioned about prince charles  spending on camilla parker bowles. but bbc correspondent peter hunt said they are not responsible for how money is spent and may be unable to answer. duchy officials  who will appear before the committee on monday  are only responsible for generating money. the duchy of lancaster provides the queen s private income  while the duchy of cornwall provides prince charles  annual income. the duchy of cornwall is a 140 000-acre estate across 25 counties  and also includes residential properties  shops  offices  stocks and shares. it was set up in 1337 by king edward iii to provide income for successive heirs to the throne. it covers the cost of the prince s public and private life - neither charles  nor william and harry  receive taxpayers  money from the civil list. however  the prince of wales did receive over £4m from government departments and grants-in-aid in 2003-4. the duchy last year generated almost £12m. the prince has voluntarily paid income tax - currently 40% - since 1993.,politics
22,tory backing for id cards the tories are to back controversial government plans to introduce id cards.  the shadow cabinet revealed its support ahead of next week s commons vote on a bill to introduce compulsory id. the decision follows a  tough meeting  where some senior tories argued vociferously against the move  party sources told the bbc. the bill  which ministers claim will tackle crime  terrorism and illegal immigration  is expected to be opposed by the liberal democrats.  they have said the scheme is  deeply flawed  and a waste of money. sources within the conservative party told the bbc michael howard has always been in favour of id cards  and tried to introduce them when he was home secretary. the party has been  agnostic  on the issue until now but had now decided to come off the fence  the tory source said. despite giving their backing to id cards  the conservatives insisted they would hold ministers to account over the precise purpose of the scheme.  they said they would also press labour over whether objectives could be met and whether the home office would deliver them. and they pledged to assess the cost effectiveness of id cards and whether people s privacy would be properly protected.  it is important to remember that this bill will take a decade to come into full effect   a spokesman said.  it will do nothing to solve the immediate problems of rising crime and uncontrolled immigration.   lib dem home affairs spokesman mark oaten said:  this has all the signs of michael howard overruling colleagues  concerns over id cards.  the tories should have the courage to try and change public opinion not follow it.  the new chairman of the bar council  guy mansfield qc warned there was a real risk that people on the  margins of society  would be driven into the hands of extremists.  what is going to happen to young asian men when there has been a bomb gone off somewhere  they are going to be stopped. if they haven t [id cards] they are going to be detained.,politics
23,benitez delight after crucial win liverpool manager rafael benitez admitted victory against deportivo la coruna was vital in their tight champions league group.  jorge andrade s early own goal gave liverpool a 1-0 win. and benitez said:  we started at a very high tempo and had many chances. it is a very important win for us and we could have scored more goals.  we were very good defensively and also good on the counter attack. we are pleased but move on to the next game.  igor biscan was outstanding in midfield after replacing injured xabi alonso  and benitez said:  he played very well.  it is important to have all the players ready and a good squad so you can play more games at a high level.  benitez added:  it is all back in our own hands now  it was a great win for us and i was delighted with what i feel was the best liverpool i have seen.  as far as my feelings about winning in spain  that is really not important.  i want to see us win away matches in the champions league  that it was in spain was not my first consideration.  as far as i am concerned it is important for liverpool to win  it is not important in what country it is in.  benitez added: benitez said:  we had a problem before the start  it was decided that xabi could not play more than 45 minutes.  but in the end because of the way that (dietmar) hamann and (igor) biscan performed  we did not need to change things until right at the end of the match.  depor are a good team and if you allow them to keep possession they can be very dangerous indeed.  but we knew that if we hit them on the counter-attack it would make them nervous  and that is how it worked out.  deportivo coach javier irureta said:  liverpool played very well and we just could not break them down.  i know we have now gone six games at home in europe without scoring  but that does not reflect our overall performances.  but this time we did not play well and we lacked imagination.  the goal was a bad mistake and a big blow to our confidence. players who usually want the ball at that stage did not want it.  i know we are bottom of the group  but as long as there is hope of qualifying  we will hang on to that.,sport
24,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.,sport
